nombre,descripcion,categoria,codigo_base,precio_compra,precio_venta,unidad,talla,color,codigo_barras,stock_actual,stock_minimo
Queso Barra,,FIAMBRES,,0,19000,kg,,,,0,0
Queso Cremoso,,FIAMBRES,,0,19000,kg,,,,0,0
Queso de Cerdo,,FIAMBRES,,0,16000,kg,,,,0,0
Queso Cáscara Colorada,,FIAMBRES,,0,32000,kg,,,,0,0
Paleta Común,,FIAMBRES,,0,16000,kg,,,,0,0
Jamón Cocido,,FIAMBRES,,0,29800,kg,,,,0,0
Jamón Crudo,,FIAMBRES,,0,49000,kg,,,,0,0
Salamín en Bastón,,FIAMBRES,,0,32000,kg,,,,0,0
Salame Milán,,FIAMBRES,,0,29000,kg,,,,0,0
Mortadela Bocha,,FIAMBRES,,0,16000,kg,,,,0,0
Cantimpalo,,FIAMBRES,,0,32000,kg,,,,0,0
Primavera,,FIAMBRES,,0,16000,kg,,,,0,0
Salchichas,,EMBUTIDOS Y SALCHICHAS,SALCHICHAS,0,3500,unidad,x6,,,0,0
Salchichas,,EMBUTIDOS Y SALCHICHAS,SALCHICHAS,0,6200,unidad,x12,,,0,0
Chorizo x 1 Kg,,EMBUTIDOS Y SALCHICHAS,,0,8500,unidad,,,,0,0
Pata Muslo,,CARNES Y POLLERÍA,PATA-MUSLO,0,7000,kg,x1 Kg,,,0,0
Pata Muslo,,CARNES Y POLLERÍA,PATA-MUSLO,0,13000,kg,x2 Kg,,,0,0
Milanesas,,CARNES Y POLLERÍA,,0,13100,kg,,,,0,0
Hamburguesas de Carne,,CARNES Y POLLERÍA,,0,16100,kg,,,,0,0
Hamburguesas de Pollo,,CARNES Y POLLERÍA,,0,14100,kg,,,,0,0
Carré de Cerdo x 1 Kg,,CARNES Y POLLERÍA,,0,7800,kg,,,,0,0
Leche La Serenísima,,LÁCTEOS,,0,3000,unidad,,,,0,0
Leche Descremada / Entera,,LÁCTEOS,,0,2100,unidad,,,,0,0
Leche (sin marca),,LÁCTEOS,,0,2300,unidad,,,,0,0
Queso Rayado Ilolay 120g,,LÁCTEOS,,0,7700,unidad,,,,0,0
Queso Rayado 120g,,LÁCTEOS,,0,7000,unidad,,,,0,0
Queso Rayado La Serenísima 35g,,LÁCTEOS,,0,2200,unidad,,,,0,0
Queso Casancrem La Serenísima 290g,,LÁCTEOS,,0,5300,unidad,,,,0,0
Queso Finlandia,,LÁCTEOS,,0,3500,unidad,,,,0,0
Queso La Serenísima Verde/Rojo,,LÁCTEOS,,0,5200,unidad,,,,0,0
Crema Ilolay,,LÁCTEOS,,0,2900,unidad,,,,0,0
Crema de Leche,,LÁCTEOS,CREMA-LECHE,0,3800,unidad,200g,,,0,0
Crema de Leche,,LÁCTEOS,CREMA-LECHE,0,5000,unidad,330g,,,0,0
Dulce de Leche,,LÁCTEOS,,0,4200,unidad,,,,0,0
Manteca 200g,,LÁCTEOS,,0,4100,unidad,,,,0,0
Margarina Danica,,LÁCTEOS,,0,2800,unidad,,,,0,0
Yogurt SER Botellita Chica,,LÁCTEOS,,0,5000,unidad,,,,0,0
Yogurt x Litro,,LÁCTEOS,,0,5000,unidad,,,,0,0
Yogurt con Cereales Griego,,LÁCTEOS,,0,4200,unidad,,,,0,0
Yogurt Botella Chica,,LÁCTEOS,,0,4000,unidad,,,,0,0
Yogurt Griego Firme,,LÁCTEOS,,0,2800,unidad,,,,0,0
Levadura en Pasta Calsa 50g,,LÁCTEOS,,0,1300,unidad,,,,0,0
Nesquik Chocolate,,LÁCTEOS,,0,2800,unidad,,,,0,0
Huevos,,HUEVOS,HUEVOS,0,2000,unidad,½ Docena,,,0,0
Huevos,,HUEVOS,HUEVOS,0,7500,unidad,Maple,,,0,0
Pan ½ Kg,,PANADERÍA Y FRESCOS,,0,1300,unidad,,,,0,0
Pan Lactal,,PANADERÍA Y FRESCOS,,0,2800,unidad,,,,0,0
Pan Rayado,,PANADERÍA Y FRESCOS,,0,1300,unidad,,,,0,0
Tapas Empanadas,,PANADERÍA Y FRESCOS,,0,2400,unidad,,,,0,0
Oralitas Tapas Tacos,,PANADERÍA Y FRESCOS,,0,2400,unidad,,,,0,0
Ravioles,,PANADERÍA Y FRESCOS,,0,3600,unidad,,,,0,0
Pascualina,,PANADERÍA Y FRESCOS,,0,2600,unidad,,,,0,0
Pionono,,PANADERÍA Y FRESCOS,,0,4300,unidad,,,,0,0
Budín 9 de Oro,,PANADERÍA Y FRESCOS,,0,3000,unidad,,,,0,0
Yerba Pipore Suave 500g,,"YERBA, TÉ E INFUSIONES",,0,3000,unidad,,,,0,0
Yerba Playadito 500g,,"YERBA, TÉ E INFUSIONES",,0,3200,unidad,,,,0,0
Yerba Amanda 500g,,"YERBA, TÉ E INFUSIONES",,0,2700,unidad,,,,0,0
Yerba Mate La Tranquera,,"YERBA, TÉ E INFUSIONES",,0,1800,unidad,,,,0,0
Té La Virginia,,"YERBA, TÉ E INFUSIONES",,0,1800,unidad,,,,0,0
Azúcar 1 Kg,,ALMACÉN / DESPENSA,,0,1600,unidad,,,,0,0
Sal Fina,,ALMACÉN / DESPENSA,,0,2000,unidad,,,,0,0
Sal Gruesa,,ALMACÉN / DESPENSA,,0,2000,unidad,,,,0,0
Harina 0000 1 Kg,,ALMACÉN / DESPENSA,,0,2200,unidad,,,,0,0
Harina Leudante,,ALMACÉN / DESPENSA,,0,2400,unidad,,,,0,0
"Aceite Cañuelas 1,35 Lt",,ALMACÉN / DESPENSA,,0,4800,unidad,,,,0,0
Grasa 500g,,ALMACÉN / DESPENSA,,0,5000,unidad,,,,0,0
Puré de Papa Instantáneo,,ALMACÉN / DESPENSA,,0,2800,unidad,,,,0,0
Puré de Tomate,,ALMACÉN / DESPENSA,,0,2000,unidad,,,,0,0
Salsa en Botella,,ALMACÉN / DESPENSA,,0,3900,unidad,,,,0,0
Ketchup Natura,,ALMACÉN / DESPENSA,,0,2100,unidad,,,,0,0
Mayonesa Natura,,ALMACÉN / DESPENSA,MAY-NATURA,0,2000,unidad,118g,,,0,0
Mayonesa Natura,,ALMACÉN / DESPENSA,MAY-NATURA,0,3000,unidad,237g,,,0,0
Mayonesa Hellmann's,,ALMACÉN / DESPENSA,,0,3000,unidad,,,,0,0
Savora 500g,,ALMACÉN / DESPENSA,,0,3900,unidad,,,,0,0
Vinagre,,ALMACÉN / DESPENSA,,0,2500,unidad,,,,0,0
Fideos Lucchetti Tirabuzón,,ALMACÉN / DESPENSA,,0,1800,unidad,,,,0,0
Fideos Lucchetti Tallarín,,ALMACÉN / DESPENSA,,0,1800,unidad,,,,0,0
Fideos Lucchetti Sopa,,ALMACÉN / DESPENSA,,0,1800,unidad,,,,0,0
Arroz Común,,ALMACÉN / DESPENSA,,0,1600,unidad,,,,0,0
